score,content,date,app,platform
1,"Don??t bait people in to take their information and sell it and add them to your mailing list then force a paywall to use the app. Free to download pay to use, 1 star no recommendation due to lack of transparency.",6/4/2021 5:28,calm,apple
1,"Installed and uninstalled a million times. When I contacted tech support they just advised me to uninstall, reinstall again. The option to join a support group sounds promising, until you join and find out there are only two, and the one I joined was moderated by by a therapist who couldn??t facilitate any kind of cohesive conversation. Not that it was entirely her fault since it was just one giant streaming text thread, no subjects or organization whatsoever. 

They say you can video message your therapist, but the maximum video length is 5 minutes, so if you??re right in the middle of a delicate explanation and time runs out, you??re interrupted. For me, that was distracting enough to end the train of thought I was on and remind me that I was on a digital platform, not a personal safe space. I can??t share my intimate feelings that way. 

You don??t get to choose your own therapist. You are assigned one. That is a terrible system. A really terrible impersonal system. 
The idea behind Talkspace is a good one. 

There are just too many shortcomings for it to work the way they describe. I hope they figure out the tech, hire better therapists, and overall improve the current clunky experience. What they offer is definitely not worth what they??re charging.",11/1/2018 15:43,talkspace,apple
2,"How are you different from any other app now that is interested in our user patterns over our mental health? Why did you remove the modules from our account history??? How else are we going to keep track of meditations we??ve done? Why don??t we have access to our account history anymore without completing a module? For an app that is supposed to deal with mental health its pretty obvious the interface changes were completed by folks who aren??t familiar with the app over the past year. Stop f??ing streamlining, it has implications! (Note: I have a premium account. How convenient is it that after I started paying for it, functions have become restricted or removed altogether.) I??m glad I didn??t buy the premium account as a gift for my sister when prompted in the app. Total bs.",12/5/2019 16:41,shine,apple
1,This app didn't work for me so I had canceled and uninstalled it. Then I got a new phone and this was somehow back on my phone plus charged me. Needless to say I'm very upset!,3/5/2021 1:38,headspace,google
1,"I had subscribed to Headspace last year and I have been paying every month. Yesterday, I had changed my phone and my account is reverted to the unpaid version, not to mention that all my details are gone as well. Please look into this ASAP.",3/16/2019 22:17,headspace,google
1,"This app has 6 data trackers. Don't trust any app with your ""wellbeing"" that is sending your behavior data to multiple third parties.",12/22/2018 11:08,headspace,google
1,"I tried the app and it wasn't for me, so I uninstalled it. But now I have a perminant event on my calendar titled ""Get some head space"" every day for the rest of time and when I try to delete it through my calendar settings, it says an internal error has occurred.",11/2/2017 9:56,headspace,google
1,"So I decided that maybe with a 25% discount the cost isn't so bad, and I subscribed for a year worth of headspace.... Only to discover that I'm set on an auto renewing service which has no way to prevent it auto renewing. And if I try and cancel my subscription it removes all my access despite having already paid for a whole year. This is the most unethical pricing model I've ever experienced. I'm really unimpressed from an app that is supposed to promote mindfullness.",10/19/2016 6:14,headspace,google
1,"With so many comapnies now hunting for your data, i thought the smarter companies would have realised that you dont make a user sign up in the trial period. Deleted the app since i dont wish to SIGN UP anymore.",1/5/2019 13:07,headspace,google
1,This app does not even let you to try it without login in. They need to get all your information and on top of that they are suggesting to connect with friends. Now why would I want to connect with friends if I want to sleep faster.,6/8/2020 17:46,headspace,apple
