,score,content,date,app,platform,relevancy_label,llm_response
0,1,"Middle of the night my app kept randomly turning on music I had played earlier - even when it was hard closed - have fully updated app, paid subscription, 11 pro.  Could not figure it out so had to delete it...",11/22/2019 1:20,calm,apple,maybe-privacy,yes
1,1,"Don't link to your calendar. Headspace has a 7:20 am event on my calendar 
that cannot be deleted for all instances, rather I have to delete each 
individual event. If this is a bug when using Google calendar please let me 
know, howeblver if you are purposely making it difficult to be removed my 
my already cluttered calendar then I am disappointed. I like headspace but 
I hate annoying user retention hacks.",7/5/2018 22:04,headspace,google,maybe-privacy,yes
2,1,This app take your money for your credit card without asking your permission.,3/20/2019 7:16,calm,google,maybe-privacy,yes
3,1,The first things the app asks is to give it your personal data and the second is do you want to pay. After these steps the app main interface comes up. Too aggressive for my personal taste,12/19/2019 1:24,calm,google,maybe-privacy,yes
4,1,Before anything they give u a free 7 day subscription but then automaticaly right after those 7 days they take almost 60 from you back account im to scared to even try this app because they will automatically end up charging me that ridiculous amount it sounds shady before even testing it out they already have your bank card number stored in from your phone. That subscrition isnt worth 60,9/18/2019 13:09,calm,google,maybe-privacy,yes
5,1,I never installed this app and it stole $92 from my bank although I didn't have a account or a subscription which is very confusing and frustrating.,11/17/2019 17:15,headspace,google,maybe-privacy,yes
6,1,I just downloaded the app and it deducted 3650 from my account even though currently its in free trial state,5/12/2021 16:07,calm,google,maybe-privacy,yes
7,1,Won't let me delete my account through the app!,9/12/2018 22:04,sanvello,google,maybe-privacy,yes
8,1,Be careful of their special deals that include an auto renewal arrangement that is not transparent. I paid for a cheap 6 month access and then got charged for an auto renewal after this finished. I didn't sign up for this and it was not clear when I paid for 6 months. No response to my email cancelling and asking for a refund. Dodgy,2/18/2019 5:16,headspace,google,maybe-privacy,yes
9,1,The app won't take payments using methods where your approval is needed before each debit. It's one of those predatory schemes like in gyms where your card gets billed unless you specifically give clear instructions not to. I'd recommend this app after they've gotten rid of it.,3/6/2020 20:28,headspace,google,maybe-privacy,yes
10,1,"Doesn't explain that you need to subscribe to use any features until after you've agreed to their privacy agreement and given your personal information, which if had been made clear at the start I wouldn't have consented to",11/29/2020 9:34,calm,google,maybe-privacy,yes
11,1,"This feels like a scam, they get you signed up and paired with therapist who??s availability is weeks out. Then therapist changes dates around again and I??m told through CS ticket (no option to call) that sorry your out $400 we don??t roll over the therapy slots you paid for. Sign up for the cheapest possible subscription you can and verify your therapist can see you within timeframe. Basically the onus is on you to ensure all scheduling activities are met within subscription window. Beware because this company will absolutely pick your pocket",5/12/2021 19:21,talkspace,apple,maybe-privacy,yes
12,1,"They charged me $60 after 2 weeks when I was supposed to reveive a month 
free trial. There was no disclosure to the fact that if you download it in 
the beginning of a month then you will be charged at the end of the month! 
Horrible! One more stressful thing on my plate. I do not reccomend! There 
are free meditation videos on youtube with longer videos and its free!",8/18/2018 22:25,calm,google,maybe-privacy,yes
13,2,"I am a clinician in the Mental health field. While I think the app is a decent forced tool to redirect people to focus on ""the positive"", I downloaded the app to test it out as a recommendation to clients. I also PAID for a yr membership. In the app's ""policies"" it states you can address ""IN APP"" your membership- this feature does NOT exist ""IN APP"", NOR is there ANY ability to address with the ""developers"" based on other reviews I have seen.
I WILL NOT recommend this APP to clients for this reason. I also intend to address this with Apple/Itunes and if it is NOT addressed by the developers, I will proceed forward to the BBB and if needed attorney general...",10/28/2015 11:59,happify,apple,maybe-privacy,yes
14,1,Just as bad as all the reviews say. I signed up during a panic attack hoping to talk to someone ASAP. It doesn't list what therapists are available so the one I messaged wasn't working until two days later. I waited. The therapist was online all day and didn't even read my message. I then switched to someone else. This one was online when I messaged. They viewed my message and did not respond. After 4 days I spoke to no one. No help and they didn't give me a full refund. Don't waste your money!,10/22/2020 22:12,talkspace,google,maybe-privacy,yes
15,1,"Worst ever app. I tried it and then I uninstalled it, but since then on everywhere like YouTube I receiving its ad. It is very annoying. The app which is made to obtain peace of mind is actually taking away my peace of mind. The Voice is so hard. Mediation is not course of university, it is just about focusing your mind at one thing. In our life, unconsciously we actually meditate many times. When we enjoy our task, we are fully focused. Don't waste your hard earned money on such things. Mediation is about knowing yourself and for that you have to look inside. Don't be fool.",12/2/2018 10:25,headspace,google,maybe-privacy,yes
16,1,Says it's free..after the 4th day of using it its trying to charge me anytime I click on anything. If there was any way to make someone with depression have hope and then take it away. That sure was the way to do it,12/21/2020 20:20,sanvello,google,maybe-privacy,yes
17,1,"This app is a scam. Downloaded it one night and it my phone started getting push ads. Uninstalled it but they charged me for a annual subscription of $63.59 the following week. The ads stopped as soon as I uninstalled it. This app is trash, don't download it.",9/26/2019 13:10,calm,google,maybe-privacy,yes
18,2,"I did the one week free trial, assuming after that I could continue month to month. But was charged for a full year after one week and refused a refund. Be very careful accepting their trial. I do not think this app is worth what I was charged for it.",2/2/2020 15:08,calm,apple,maybe-privacy,yes
19,1,What does my name or my email have to do with meditating? Nothing. Chances are good you are selling off peoples info to whoever will buy. Absolute scumbags trying to make a penny off of vulnerable people just looking for help.,10/13/2018 3:27,headspace,google,maybe-privacy,yes
20,1,"This app has well deserved great ratings for  ease of use and fun interactive features. It also makes great use of the way modern technology has been used to high-jack our endorphins to cause us to return to certain apps over and over again, which I??ve never been happy about with any other app. Unfortunately after paying for the year long subscription (& not enough attention to the fine print which rendered this non-refundable) I became very unhappy with it within a week. Ironically it was doing the anger series that caused this, as the founder??s philosophy on anger was so disappointing and terrible that, well, it made me furious. Instructing people to ??not engage? with their anger and to essentially contemplate it until it becomes an entirely different feeling altogether is totally in line with the rubbishy spiritual by-pass so many new agers espouse that one wonders how much plutonic rage they??re all sitting on. Very Portlandia. What nonsense! Where was the practical advice to understand that rage is a feeling our psyches present in order for us to see where our boundaries are being trespassed? Where was the instruction to practice empathy for ourselves in the face of the anger so that we could get to the heart of it and speak calmly to our upsets rather than ignore them? It left me with deep distrust of the founder and the app altogether. So I started to poke around the settings and discovered that it??s not enough for the makers of this app to get your subscription fees, they??ve also got cross marketing fees going on and problematic tie-ins with advertisers online with no ability to opt out of it, only redirect it so that you are receiving advertising ??tailored to your interests?. How about no advertising? Because that would be tailored to my interests. This was the final straw for me and, as stated above, I attempted to get a refund and failed. That, of course, made me even more furious, which, whatever the maker of this app thinks, is a truly necessary emotion and motivator because the problems of this world aren??t going to resolve themselves. I logged out and deleted my data and am about to download the competition.",9/10/2018 1:07,headspace,apple,maybe-privacy,yes
21,1,"Why was my first negative review deleted? Is this how you get high rating? By manipulation? Now on top of this app being a cash-grabber pretending to be free, it also apparently deletes negative reviews. I will make sure to return and rate it again if it still gets deleted.",8/11/2020 5:54,calm,google,maybe-privacy,yes
22,1,I did not order this app but am being charged. I have tried to cancel & get it taken off my credit card but has not happened.  Please help me get this taken off. I am retired & cannot afford $60. I do not know how this was put on my charge.  American Express has tried to help me but you will not refund my money.  Please HELP!!,5/20/2019 8:30,calm,google,maybe-privacy,yes
23,1,"I signed up for the free trial to test it out. And they charged me $95 for their free trial. There is no way they can cancel it, I had to go through a long process with Apple still no answer on why I was charged $95.",4/30/2019 14:52,calm,apple,maybe-privacy,yes
24,1,So there??s a bit of a process to start your a Talkspace therapy. After you fill out some forms and surveys there a couple week wait before you actually talk to a therapist. You are being billed the entire time though. No therapy or help for around two weeks but they are still charging you?! Anyways you will get maybe 15-17 days of having a ??therapist?. Then you get billed again. So in 15 days you will have paid $400. If that wasn??t frustrating enough the so called ??therapist? was copying and pasting her entire side of the conversation. I copied and pasted her responses in Google search and just about every other response was took directly from a google search. I could look up facts and statistics myself!! No real help at all here. Just know what your getting before you sign up. Some people really need help and turn to you Talkspace. Shame on you.,11/23/2018 5:34,talkspace,apple,maybe-privacy,yes
25,1,"94.99usd charged for a yearly subscription to my account, that I didn't authorize or want. Came through in the middle of the night while my house was asleep, the day the app was installed. Trying to get the transaction cancelled.",1/10/2017 10:57,headspace,google,maybe-privacy,yes
26,1,"1.17.20--TOTAL SCAM, DO NOT PURCHASE. I'm currently disputing charges 'Shine' has drafted from my bank account without authorization. I have requested to cancel this bogus subscription multiple times via they email address they provide for customer support &am told they 'cannot locate (my account)'' Review from 3.15.19: I already paid for this app for a year. Why am I being asked to pay for a premium membership again now? It hasn't even been 3 months since I bought the last one. buyer beware!",1/17/2020 8:48,shine,google,maybe-privacy,yes
27,1,"Maybe it??s on me, but I didn??t realize this app would automatically bill me $73 without me affirmatively choosing to sign up. I assumed because I never provided credit card numbers, that I didn??t have a membership. Just now, literally months later, I realized my iTunes account was billed for a year subscription that not only I didn??t particularly want, but didn??t even realize I had - after my trial expired, I never even opened the app. I guess I should pay more attention, but seems like highway robbery.",3/11/2019 1:33,calm,apple,maybe-privacy,yes
